rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
563,SQL12000028_1,รายงานสรุปใบคืนเบิกสินค้า ตามแผนก,IC120028_1.rpt,SQL,1233,TRANSTKD
564,SQL120010272,รายงานสรุปคืนเบิกใช้สินค้า ตามโครงการ,IC120027_1.rpt,SQL,1227,TRANSTKD
565,SQL12000012_1,รายงานสรุปคืนเบิก ตามสินค้า,IC120012_1.rpt,SQL,1207,TRANSTKD
566,SQL12000025_1,รายงานสรุปใบคืนเบิกสินค้า ตามหมวด,IC120025.rpt,SQL,1237,TRANSTKD
567,SQL120010062,รายงานรายละเอียดคืนเบิกใช้สินค้า ตามหมวด,IC120006.rpt,SQL,1735,DOCINFO
568,SQL120010032,รายงานรายละเอียดคืนเบิกใช้สินค้า ตามสินค้า,IC120003_1.rpt,SQL,1668,DOCINFO
569,SQL120010102,รายงานรายละเอียดคืนเบิกใช้สินค้า ตามโครงการ,IC120010_1.rpt,SQL,1702,DOCINFO
570,SQL120010112,รายงานรายละเอียดคืนเบิกใช้สินค้า ตามแผนก,IC120011_1.rpt,SQL,1668,DOCINFO
571,SQL12001049,รายงานขอโอนย้ายเทียบกับใบโอนย้าย,IC120049.rpt,SQL,974,BRANCH DEPTTAB DOCINFO DOCTYPE PRJTAB SKUMASTER TRANSTKD TRANSTKH WARELOCATION
573,FRM1100101,ใบโอนย้ายสินค้า พร้อมรหัสสินค้า,DOC11001.RPT,FRM,0,
574,FRM1100102,ใบโอนย้ายสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC11002.RPT,FRM,0,
579,SQL12001071,รายงานสรุปใบโอนย้ายสินค้า- ตามเอกสาร,IC120063.rpt,SQL,807,DOCINFO
580,SQL12001007,รายงานรายละเอียดโอนย้ายสินค้าตามเอกสาร,IC120007.rpt,SQL,1650,DOCINFO
582,SQL12001044,รายงานสรุปโอนย้ายสินค้า ตามสินค้า,IC120044.rpt,SQL,1841,DOCINFO
583,SQL12001046,รายงานสรุปโอนย้ายสินค้า ตามหมวด,IC120046.rpt,SQL,1908,DOCINFO
584,SQL12001048,รายงานสรุปโอนย้ายสินค้า ตามโครงการ,IC120048.rpt,SQL,1875,DOCINFO
585,SQL12001039,รายงานรายละเอียดโอนย้ายสินค้า ตามหมวด,IC120039.rpt,SQL,1908,DOCINFO
586,SQL12001041,รายงานรายละเอียดโอนย้ายสินค้า ตามโครงการ,IC120041.rpt,SQL,1875,DOCINFO
587,TFRM1100201,ใบโอนย้ายคลัง พร้อมรหัส Text Mode,TDOC11001.txt,TFRM,0,
588,SQL12001008,รายงานรายละเอียดโอนย้ายสินค้า ตามสินค้า,IC120008.rpt,SQL,1841,DOCINFO
589,SQL16304007,รายงานสรุป-ย้ายสินค้าออกจากคลัง,RP163007.rpt,SQL,1376,BRAND DEPTTAB DOCINFO DOCTYPE ICCAT ICDEPT SKUMASTER SKUMOVE TRANSTKD TRANSTKH UOFQTY WAREHOUSE WARELOCATION
590,SQL16304004,รายงานสรุปการรับย้าย,RP163004.rpt,SQL,1217,DEPTTAB DOCINFO DOCTYPE SKUMASTER SKUMOVE TRANSTKD TRANSTKH UOFQTY WAREHOUSE WARELOCATION
592,FRM0100102,ใบขอโอนย้ายสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC01002.rpt,FRM,2325,ARPRICETAB DOCINFO
593,FRM0100101,ใบขอโอนย้ายสินค้า พร้อมรหัสสินค้า,DOC01001.rpt,FRM,2325,ARPRICETAB DOCINFO
594,TFRM0100101,ฟอร์มเอกสารขอโอนย้าย พร้อมรหัส TextMode,TDOC01001.txt,TFRM,2325,ARPRICETAB DOCINFO
597,SQL12001075,รายงานสรุปใบขอโอนย้ายสินค้า- ตามเอกสาร,IC120063.rpt,SQL,807,DOCINFO
598,FRM0100104,ใบขอโอนย้ายสินค้า (Letter),DOC01004.rpt,FRM,2325,ARPRICETAB DOCINFO
599,FRM1090101,ใบตัดชำรุดสินค้า พร้อมรหัสสินค้า,DOC10901.RPT,FRM,0,
600,FRM1090102,ใบตัดชำรุดสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC10902.RPT,FRM,0,
601,TFRM1090201,ใบตัดชำรุดสินค้า Text Mode,TDOC10901.txt,TFRM,0,
604,SQL12001002,รายงานการตัดชำรุดสินค้า,IC120002.rpt,SQL,1433,DOCINFO
606,SQL12001072,รายงานสรุปใบตัดชำรุดสินค้า- ตามเอกสาร,IC120063.rpt,SQL,807,DOCINFO
609,SQL12001033,รายงานสรุปการตัดชำรุดสินค้า ตามสินค้า,IC120033.rpt,SQL,1604,DOCINFO
610,SQL12001035,รายงานสรุปการตัดชำรุดสินค้า ตามหมวด,IC120035.rpt,SQL,1671,DOCINFO
611,SQL12001037,รายงานสรุปการตัดชำรุดสินค้า ตามโครงการ,IC120037.rpt,SQL,1638,DOCINFO
612,SQL12001030,รายงานรายละเอียดตัดชำรุดสินค้า ตามหมวด,IC120030.rpt,SQL,1671,DOCINFO
613,SQL12001004,รายงานรายละเอียดตัดชำรุดสินค้า ตามสินค้า,IC120004.rpt,SQL,1604,DOCINFO
614,SQL12001032,รายงานรายละเอียดตัดชำรุดสินค้า ตามโครงการ,IC120032.rpt,SQL,1638,DOCINFO
615,FRM0090102,ใบขอตัดชำรุดสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC00902.rpt,FRM,2025,ARPRICETAB DOCINFO
616,FRM0090101,ใบขอตัดชำรุดสินค้า พร้อมรหัสสินค้า,DOC00901.rpt,FRM,2025,ARPRICETAB DOCINFO
